0.025	0.007																	
0.050	0.008																	
0.075	0.009																	
0.100	0.009																	
0.125	0.010																	
0.150	0.011																	
0.175	0.012																	
0.200	0.014																	
0.225	0.012																	
0.250	0.015																	
0.275	0.014																	
0.300	0.017																	
0.325	0.019																	
0.350	0.021																	
0.375	0.021																	
0.400	0.023																	
0.450	0.025																	
0.500	0.034																	
0.550	0.035																	
0.600	0.044																	
0.650	0.050																	
0.700	0.055																	
0.750	0.059																	
0.800	0.078																	
0.850	0.091																	
0.900	0.105																	
0.950	0.122																	
1.000	0.138																	
1.050	0.147																	
1.100	0.157																	
1.150	0.186																	
1.200	0.258																	
1.250	0.251																	
1.300	0.284																	
1.350	0.402																	
1.400	0.465																	
1.450	0.434																	
1.500	0.585																	
1.550	0.718																	
1.600	0.775																	
1.650	0.896																	
1.700	1.008																	
1.750	1.112																	
1.800	1.335																	
1.850	1.629																	
1.900	1.685																	
